date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:47:50	85/85	---M-Z	200	added ('OK')	text/plain	date:Thu,%2008%20Sep%202022%2012:24:51%20GMT	https://estudioese.com.uy/robots.txt		(from )
12:47:50	98063/98063	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:47:50%20GMT	https://estudioese.com.uy/	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/index.html	(from )
12:47:50	2015/2015	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2012%20Dec%202022%2017:44:52%20GMT	https://estudioese.com.uy/images/static/iso-deco.svg	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/images/static/iso-deco.svg	(from https://estudioese.com.uy/)
12:47:51	655/655	---M--	200	added ('OK')	image/png	date:Fri,%2011%20Nov%202022%2020:42:05%20GMT	https://estudioese.com.uy/images/favicon.png?v=2	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/images/favicon5e1f.png	(from https://estudioese.com.uy/)
12:47:51	59991/59991	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2028%20Jul%202023%2017:47:51%20GMT	https://estudioese.com.uy/images/avatar.png	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/images/avatar.png	(from https://estudioese.com.uy/)
12:47:51	17628/17628	---M-Z	200	added ('OK')	text/css	date:Fri,%2011%20Nov%202022%2021:35:45%20GMT	https://estudioese.com.uy/styles/fixed.min.css?v=20232001	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/styles/fixed.min2d95.css	(from https://estudioese.com.uy/)
12:47:52	11466/11466	---M-Z	200	added ('OK')	text/css	date:Mon,%2012%20Dec%202022%2019:35:30%20GMT	https://estudioese.com.uy/styles/home.min.css?v=20232001	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/styles/home.min2d95.css	(from https://estudioese.com.uy/)
12:47:52	273938/273938	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:47:52%20GMT	https://estudioese.com.uy/que-hacemos-2	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/que-hacemos-2.html	(from https://estudioese.com.uy/)
12:47:53	198542/198542	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:47:52%20GMT	https://estudioese.com.uy/proyectos-9	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/proyectos-9.html	(from https://estudioese.com.uy/)
12:47:53	204297/204297	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:47:53%20GMT	https://estudioese.com.uy/sobre-nosotros-3	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/sobre-nosotros-3.html	(from https://estudioese.com.uy/)
12:47:54	682154/682154	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:47:53%20GMT	https://estudioese.com.uy/articulos-6	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/articulos-6.html	(from https://estudioese.com.uy/)
12:47:54	42028/42028	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Jul%202023%2017:47:53%20GMT	https://estudioese.com.uy/contacto-8	C:/Mis%20lugares%20Web/PE/ese-pe/estudioese.com.uy/contacto-8.html	(from https://estudioese.com.uy/)
